m rec h chrm s f pfix mtfix pkeep fstall fstcb meangen_p1all meangen_p2all meangen_p1cb meangen_2cb
0 2.5e-07 0.5 H 0.05333 0.1 999 226.09 1 0.999998666889185 0.999998666889185 0.966278463025 0.001494716693665 0.966278463025 0.001494716693665
0 2.5e-07 0.5 D 0.05333 0.5 999 228.13 1 0.999996007984032 0.999996007984032 0.98655824 0.01340211007795 0.98655824 0.01340211007795
0 2.5e-07 0.5 H 0.05333 0.5 998 178.48 1 0.99999733377837 0.99999733377837 0.990073786235 0.009913286705535 0.990073786235 0.009913286705535
0 2.5e-07 0.01 D 0.0667 0.001 4 NA 0.004 0.004 NA 0.003589803359415 0.000108003332365 0.888272505825 0
0 2.5e-07 0.01 H 0.0667 0.001 47 272.340425531915 0.047 0.047 1 0.04336755664473 1.4816668935e-05 0.922396666216808 9.29078308510638e-06
0 2.5e-07 0.01 D 0.0667 0.01 124 422.258064516129 0.124 0.124 1 0.10736136007455 0.001411126668095 0.861671989705806 0.00120255375165323
0 2.5e-07 0.01 H 0.0667 0.01 480 267.006237006237 0.481 0.480986754309022 0.999972462180918 0.44454564334815 0.0002249766688 0.92399817743684 0.00023787942489605
0 2.5e-07 0.01 D 0.0667 0.1 853 372.775175644028 0.855 0.854976144236042 0.999972098521687 0.79021559013184 0.00892545350266 0.923326803275731 0.00889059277623977
0 2.5e-07 0.01 H 0.0667 0.1 998 186.046046046046 0.999 0.998998666889185 0.99999866555474 0.965877783051485 0.002126243325485 0.966842248633784 0.00212695361294795
0 2.5e-07 0.01 D 0.0667 0.5 1000 448.61 1 1 1 0.992358359825 0.025365726544775 0.992358359825 0.025365726544775
0 2.5e-07 0.01 H 0.0667 0.5 999 188.48 1 0.999998666889185 0.999998666889185 0.993475863165 0.01043072362407 0.993475863165 0.01043072362407
0 2.5e-07 0.5 D 0.0667 0.001 52 319.807692307692 0.052 0.052 1 0.048060936755895 9.76333212e-06 0.924129296609712 3.33333240384615e-06
0 2.5e-07 0.5 H 0.0667 0.001 79 255.063291139241 0.079 0.079 1 0.074249163396925 7.203332105e-06 0.939793882671013 6.58227905063291e-06
0 2.5e-07 0.5 D 0.0667 0.01 621 310.305958132045 0.621 0.621 1 0.57755707341753 0.000155436670355 0.929960987782778 0.000154986581038647
0 2.5e-07 0.5 H 0.0667 0.01 718 245.569444444444 0.72 0.719985421198207 0.999979751664176 0.68018963956039 0.000118403333855 0.944669591979174 0.000122620372833333
0 2.5e-07 0.5 D 0.0667 0.1 998 240.85 1 0.999925101775571 0.999925101775571 0.963220126725 0.001638683319225 0.963220126725 0.001638683319225
0 2.5e-07 0.5 H 0.0667 0.1 999 187.8 1 0.999998666889185 0.999998666889185 0.97303383997 0.00118820333823 0.97303383997 0.00118820333823
0 2.5e-07 0.5 D 0.0667 0.5 999 191.24 1 0.999996007984032 0.999996007984032 0.98925234654 0.01060557338887 0.98925234654 0.01060557338887
0 2.5e-07 0.5 H 0.0667 0.5 999 150.95 1 0.999998666889185 0.999998666889185 0.992119666505 0.00790679002337 0.992119666505 0.00790679002337
0 2.5e-07 0.01 D 0.1334 0.001 8 NA 0.00800000000000001 0.008 NA 0.007117346696965 6.9160000565e-05 0.88717000376875 0
0 2.5e-07 0.01 H 0.1334 0.001 86 165.813953488372 0.086 0.086 1 0.08178875002069 7.929999185e-06 0.950972790935756 1.2209300872093e-05
0 2.5e-07 0.01 D 0.1334 0.01 180 279.388888888889 0.18 0.18 1 0.16337911994576 0.00090915999525 0.905906018132778 0.000808537002611111
0 2.5e-07 0.01 H 0.1334 0.01 716 153.240611961057 0.719 0.718993341762402 0.999990739586094 0.68860918631596 0.000116036666875 0.957695595246398 0.000119369496766342
0 2.5e-07 0.01 D 0.1334 0.1 963 264.470954356846 0.964 0.963989390580037 0.999988994377631 0.925191373248565 0.00572159005512 0.959618564905394 0.00574872411844398
0 2.5e-07 0.01 H 0.1334 0.1 999 106.23 1 0.999998666889185 0.999998666889185 0.983697852958 0.00110889999317 0.983697852958 0.00110889999317
0 2.5e-07 0.01 D 0.1334 0.5 1000 309.47 1 1 1 0.996245732925 0.01390661654818 0.996245732925 0.01390661654818
0 2.5e-07 0.01 H 0.1334 0.5 999 116.43 1 0.999998666889185 0.999998666889185 0.99681165957 0.00529226670348 0.99681165957 0.00529226670348
0 2.5e-07 0.5 D 0.1334 0.001 97 198.041237113402 0.097 0.097 1 0.09255398662967 4.529999405e-06 0.954125910284278 2.30240608247423e-06
0 2.5e-07 0.5 H 0.1334 0.001 140 155.714285714286 0.14 0.14 1 0.13513132324337 3.576666145e-06 0.965202499354821 2.78571417857143e-06
0 2.5e-07 0.5 D 0.1334 0.01 837 178.112305854241 0.837 0.837 1 0.805658049936325 7.381999764e-05 0.962544070015066 7.36359993847073e-05
0 2.5e-07 0.5 H 0.1334 0.01 903 140.165380374862 0.907 0.906989351515356 0.999988259664119 0.88067053282352 5.548999917e-05 0.970966585251604 5.59904433020948e-05
0 2.5e-07 0.5 D 0.1334 0.1 999 137.6 1 0.999986754309022 0.999986754309022 0.98174184961 0.000817080024435 0.98174184961 0.000817080024435
0 2.5e-07 0.5 H 0.1334 0.1 999 107.79 1 0.999998666889185 0.999998666889185 0.986597313039 0.00058495332869 0.986597313039 0.00058495332869
0 2.5e-07 0.5 D 0.1334 0.5 999 114.08 1 0.999996007984032 0.999996007984032 0.99462325638 0.00536351344902 0.99462325638 0.00536351344902
0 2.5e-07 0.5 H 0.1334 0.5 999 89.94 1 0.999998666889185 0.999998666889185 0.996071043145 0.0039347365898 0.996071043145 0.0039347365898
0.00034 2.5e-07 0.01 D 0 0.001 0 NA 0.004 0.000810893903939606 NA 0.00100719335851 0.000697279980125 0.20742750508375 0.1289066639275
0.00034 2.5e-07 0.01 H 0 0.001 0 NA 0.003 0.000277469026107918 NA 0.000447666701315 0.00142360670547 0.106382230816667 0.35571110987
0.00034 2.5e-07 0.01 D 0 0.01 0 NA 0.04 0.00760801262480071 0.189477730605777 0.01084996006996 0.00964295988855 0.204076416895125 0.165965165194625
0.00034 2.5e-07 0.01 H 0 0.01 0 NA 0.028 0.00528686193964408 0.179671268600132 0.00832980667022 0.0085308266904 0.201527023475179 0.194230237412857
0.00034 2.5e-07 0.01 D 0 0.1 3 NA 0.307 0.0579605177406601 0.181226615002918 0.10200915038731 0.099922606417335 0.253247622297443 0.23994794802645
0.00034 2.5e-07 0.01 H 0 0.1 1 1435.45454545455 0.294 0.0566735645905954 0.182922488610858 0.09929638994015 0.102149807278515 0.262920317737908 0.249864569841803
0.00034 2.5e-07 0.01 D 0 0.5 5 1245 0.855 0.147837399174687 0.16760956937273 0.492642829238405 0.48485265966544 0.546799340040129 0.531699032632731
0.00034 2.5e-07 0.01 H 0 0.5 8 1342.29166666667 0.896 0.155860130455383 0.17082171694976 0.508428266727125 0.505592563540365 0.546936402718638 0.539742909640536
0.00034 2.5e-07 0.5 D 0 0.001 0 NA 0.004 0.000810893903939606 NA 0.00100719335851 0.000697279980125 0.20742750508375 0.1289066639275
0.00034 2.5e-07 0.5 H 0 0.001 0 NA 0.003 0.000277469026107918 NA 0.000447666701315 0.00142360670547 0.106382230816667 0.35571110987
0.00034 2.5e-07 0.5 D 0 0.01 0 NA 0.04 0.00760801262480071 0.189477730605777 0.01084996006996 0.00964295988855 0.204076416895125 0.165965165194625
0.00034 2.5e-07 0.5 H 0 0.01 0 NA 0.028 0.00528686193964408 0.179671268600132 0.00832980667022 0.0085308266904 0.201527023475179 0.194230237412857
0.00034 2.5e-07 0.5 D 0 0.1 3 NA 0.307 0.0579605177406601 0.181226615002918 0.10200915038731 0.099922606417335 0.0938319102412541 0.0816636476012541
0.00034 2.5e-07 0.5 H 0 0.1 1 1435.45454545455 0.294 0.0566735645905954 0.182922488610858 0.09929638994015 0.102149807278515 0.102306235632568 0.109102211262109
0.00034 2.5e-07 0.5 D 0 0.5 5 1245 0.855 0.147837399174687 0.16760956937273 0.492642829238405 0.48485265966544 0.490615278263561 0.484760256761205
0.00034 2.5e-07 0.5 H 0 0.5 8 1342.29166666667 0.896 0.155860130455383 0.17082171694976 0.508428266727125 0.505592563540365 0.507787637330904 0.508307098403499
