chr h m sr s r f t window pi_pop1 pi_pop2 dxy fst fst0.025 fst0.05 fst0.10 fst0.25 fst0.5 fst0.75 fst0.90 fst0.95 fst0.975
A 0.01 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 50000 0.546961072346676 2.02072135234089 7.47774742930591 0.819470946789547 0.607112405284969 0.638499245852187 0.681858268364006 0.756806899664042 0.830150032225131 0.897466948302305 0.931893769946867 0.952788099358648 0.970280375210171
A 0.01 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 25000 0.341948218876239 1.19994936511646 5.28518637532134 0.848744479607193 0.628025597590815 0.664851532293393 0.715485893416928 0.786659768802626 0.863880742913001 0.923343408509649 0.966749311294766 0.979591836734694 1
A 0.01 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 10000 0.221860080793243 0.797888914855496 4.18985646958012 0.876880722666166 0.665477555554418 0.70952380952381 0.756267217630854 0.823348526473526 0.890282131661442 0.94146294881589 0.986611433305717 1 1
X 0.01 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 1e+05 1.06411272884532 3.84210928660979 12.1885511268079 0.787183495128096 0.585483322432963 0.607255264863961 0.652827487473157 0.728538300531554 0.800048248964658 0.858585858585859 0.8996632996633 0.921359569588522 0.938448791525835
X 0.01 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 50000 0.560328672336745 1.97281594960707 7.30827447023209 0.817252069346548 0.607966155669766 0.637486162056773 0.682091018225472 0.756612112729679 0.830578512396694 0.888323601760483 0.934235976789168 0.958415322051686 0.970428289426656
X 0.01 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 25000 0.334474556724809 1.17012200715531 5.16742347796838 0.849909306617377 0.655853320990936 0.683282575465864 0.724321133412043 0.790079120336922 0.860606060606061 0.918011220268794 0.960307298335467 0.979591836734694 1
X 0.01 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 10000 0.214177598385469 0.766657493196343 4.08650773629331 0.880350365888075 0.696239806704923 0.729345122962144 0.764016471333545 0.820502925154088 0.892367906066536 0.946946242611877 0.983606557377049 1 1
A 0.5 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 1e+05 1.10396428571429 3.93339393939394 12.4599583333333 0.786946455129701 0.570447727272727 0.61000540516851 0.654963488429772 0.722001129628067 0.798956170548855 0.860776831728985 0.905284413917277 0.929181308887191 0.946809472361255
A 0.5 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 50000 0.584 2.03274242424242 7.52222916666667 0.815072235250511 0.594965289256198 0.635566549154444 0.679946282237509 0.748027087068183 0.825604901288196 0.894102951351927 0.935357693154303 0.954545454545455 0.971660745864568
A 0.5 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 25000 0.357928571428571 1.20672727272727 5.25977083333333 0.844935378759954 0.649198457792208 0.680929438066769 0.71905870326923 0.780724132855811 0.857142857142857 0.917935512763099 0.96 0.978730151590122 1
A 0.5 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 10000 0.238214285714286 0.815560606060606 4.17054166666667 0.872238711123127 0.689464285714286 0.714882595083488 0.753499539282672 0.809928493461941 0.885596221959858 0.940549799465241 0.979591836734694 1 1
X 0.5 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 1e+05 1.08584337349398 3.9289430449069 12.3105128848728 0.785625117680252 0.581002968934003 0.614472132890843 0.65387334719661 0.726291405223989 0.792660246666181 0.859204514279647 0.902009322594881 0.919333153284329 0.934841563475284
X 0.5 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 50000 0.57662794033276 2.05275648046732 7.37259454484605 0.813057442403831 0.586780197125025 0.623286016309272 0.675659875804908 0.752226157680703 0.830114255204541 0.886254207515325 0.931002009040683 0.949943438914027 0.96733137829912
X 0.5 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 25000 0.350401606425703 1.21644152367044 5.21362533467202 0.846219141563852 0.641486902927581 0.675969127524997 0.71488289722962 0.790134541166381 0.862339739705775 0.915062575439934 0.956286155537523 0.975884627366183 1
X 0.5 3.65e-4 0.3 0.2437 1.05e-6 0.1 1549 10000 0.225473321858864 0.792381647803335 4.09933483935743 0.876219276490062 0.687897551365044 0.711527401927766 0.758556465411108 0.823150334513971 0.890282131661442 0.941176470588235 0.979591836734694 1 1
